id	name	set	politics_cost	intrigue_cost	one_power_cost	combat_cost	type	subtype_allegiance	attribute	politics_ability	intrigue_ability	one_power_ability	combat_ability	rarity	collector	text	flavor	artist
a_new_empire	A New Empire	dark_prophecies					Advantage	Player	Prophecy, Repeatable					Rare 2	02-001 R2	May only be played by a Hero player. Requirements: Control a nation contested card advantage by 5 or more. Benefits: As an event, you may rotate the target nation contested advantage to draw 3 cards and move a neutral token to your section of the Pattern (if possible). These benefits may only be gained once per game for each nation contested advantage. [08.21.2001 - ERRATA]		
advanced_maneuvers	Advanced Maneuvers	dark_prophecies					Challenge							Common	02-002 C	If successful, no cards controlled by any other player may participate in a card-based challenge you initiate next turn.		
alanna_sedai	Alanna Sedai	dark_prophecies	1		1		Character	Aes Sedai	Green Ajah, Bonded to Ihvon, Bonded to Owein	2	1	2		Uncommon	02-003 U	As an event, Alanna may pay [One Power] to generate [Combat].		
asmodean_ii	Asmodean (II)	dark_prophecies			2		Character	Dragon			2	1		Rare 1	02-004 R1	Only ability symbols generated by the Dragon Reborn may be used to recruit this character.  Symbols generated by this character may not be used to recruit.  As an event, rotate to give the Dragon Reborn +2 One Power until the end of the turn.  As an event, discard from your hand to give the Dragon Reborn +3 One Power until the end of the turn.
bair	Bair	dark_prophecies	2	1			Character	Aiel	Light Nature, Wise One, Shaarad Aiel, Dreamwalker	2	1			Uncommon	02-005 U	All Dreamwalker characters you control gain +1 Intrigue.		
balefire	Balefire	dark_prophecies			3		Event							Rare 3	02-006 R3	Play during the Opening Moves step of a challenge.  Symbols used to pay for this card must all come from the same character.  Roll 2 One Power dice when you play this card.  If you roll [2x One Power], kill your starting character.  Target a non-starting charcter participating in the challenge.  The target is killed.  If the target has the Ta'veren ability to prevent damage, its controller may convert 2 pattern to negate the effects of this event to the target.		
battle_plan	Battle Plan	dark_prophecies					Advantage	Player						Common	02-007 C	When you win a card-based challenge you initiated which did not directly give you pattern, place a token on this card.  During the Last Battle, you additionally generate [Support] [Opposition] for each token on this card.  As an event, rotate this card during the action round to remove a point of damge from a card you control for each token on this advantage.		
bayle_domon	Bayle Domon	dark_prophecies	1	1		1	Character	Illian	Light Nature	2	2		2	Rare 2	02-008 R2	As a limited event, rotate and target any number of characters and/or troops you control which are participating in the same challenge.  The targets are moved to your homefront, and are no longer participating in the challenge.		
be_lal_ii	Be'lal (II)	dark_prophecies			4		Character	Dark One	Forsaken		2	4	4	Rare 1	02-009 R1	Only ability symbols generated by a Forsaken may be used to recruit this character.  Symbols generated by this character may not be used to recruit.  You may initiate the Callandor challenge if the Dragon Reborn is in play.  If the challenge is successful, place the Callandor advantage on Be'lal.  If it is unsuccessful, place it on the Dragon Reborn.  As an event, discard this card from your hand to add 5 support to the Callandor challenge. [06.27.2000 - ERRATA]
blockade_runners	Blockade Runners	dark_prophecies	1	1		1	Troop	Illian					4	Uncommon	02-010 U	While participating in a card-based challenge, this troop additionally generates [3x Opposition] when it rolls its dice.		
blood_and_ashes	Blood and Ashes	dark_prophecies			1		Advantage	Player						Rare 3	02-011 R3	You may rotate your starting character to play this card for free, instead of paying its printed cost.  When you play this card, name an event; no copy of that event may be played while this card remains in play.  If any player discards a copy of the named event, discard this card.		
cairhien_guard	Cairhien Guard	dark_prophecies		1		1	Troop	Cairhien	Multiple				3	Common	02-012 C	As an event, rotate this card and target a troop participating against this troop to blank the effect text of the target until the end of the turn.		
cairhien_veterans	Cairhien Veterans	dark_prophecies	2			1	Troop	Cairhien					5	Uncommon	02-013 U	As an event, pay any 2 ability symbols with the Cairhien allegiance to remove 1  point of damage from this troop.		
captain_caldevwin	Captain Caldevwin	dark_prophecies		1		2	Character	Cairhien		1	1		3	Uncommon	02-014 U	All Cairhien Horsemen troops you control permanently gain the trait Multiple, and roll an additional Combat die when they roll their dice while participating in a challenge with Captain Caldevwin.		
charismatic_leader	Charismatic Leader	dark_prophecies					Advantage	Character						Common	02-015 C	Target a Forsaken you control.  Choose an allegiance of a troop you control (if any).  The target gains +1 Politics and the chosen allegiance.  Discard this card if you control a Monster.		
chesmal_sedai	Chesmal Sedai	dark_prophecies		2	1		Character	Aes Sedai	Dark Nature, Yellow Ajah, Black Ajah		2	2		Uncommon	02-016 U	As a limited event, once per turn, rotate and target a character with damage. The target takes an additional point of damage, and Chesmal Sedai does not ready next turn. [08.21.2001 - ERRATA]		
child_of_the_light	Child of the Light	dark_prophecies				1	Character	Children of the Light	Multiple	1			1	Common	02-017 C	As an event, rotate to reduce the cost of the next card you recruit this turn with the Chldren of the Light allegiance by one ability symbol of your choice.  (This reduction applies after all other modifiers.)		
circle_of_light	Circle of Light	dark_prophecies					Advantage	Player						Common	02-018 C	When you recruit a non-Wolf Mercenary card, it permanently gains the Children of the Light allegiance.  Discard all non-starting characters and troops you control which do not have the Children of the Light allegiance.  At the resolution of the Last Battle gain an additional [Support] [Opposition] for each token on the neutral section of the pattern. [CLARIFICATION: Circle of Light does not retroactivly turn your existing Mercenaries into Children of the Light if they were in play before you played Circle of Light. - 06.27.2000 - ERRATA]		
combat_training	Combat Training	dark_prophecies					Advantage	Player						Common	02-019 C	As an event, rotate this card and a troop you control.  Roll the troop's current dice.  If the troop generates a number of [Combat] greater than or equal to 1 less than its permanent Combat ability (minimum 1), it gains +1 Combat permanently.		
combined_army	Combined Army	dark_prophecies					Troop		Multiple				6	Uncommon	02-020 U	There is no cost to recruit this troop.  If you do not discard from play 2 non-Monster troops you control with different allegiances when you recruit this troop, kill it immediately.  This troop has the same allegiance(s) as your starting character.		
conquest	Conquest	dark_prophecies					Challenge							Rare 3	02-021 R3	When you reveal this challenge, search your deck for a contested advantage not in play, and place it in your hand.  If successful, place 2 tokens on each nation contested advantage in play.  If you succeed by 5 or more, return all copies of Conquest in your discard pile (not including this one) to your hand.		
consumed_by_the_blight	Consumed by the Blight	dark_prophecies					Event		Terrain					Uncommon	02-022 U	Target a card-based challenge.  Only one terrain card may target each challenge.  When rolling their dice while participating in the challenge, all Monsters roll an additional Combat die.		
couladin	Couladin	dark_prophecies	1			3	Character	Aiel	Dark Nature, Shaido Aiel, Black Eyes	2			4	Rare 2	02-023 R2	If you control the Car'a'carn character advantage, discard this card.  While Couladin is participating in a challenge, all Aiel troops you control participating in the same challenge roll an additional Combat die when they roll their dice.  Remove 1 point of damage from Couladin at the beginning of the challenge round.		
dark_subversion	Dark Subversion	dark_prophecies					Challenge							Rare 3	02-024 R3	Only a Vilain player may intiate this challenge.  If successful, search your deck for a Darkfriend character advantage, a character with the Dark Nature trait, and/or a troop with the Dark Nature trait, and place them in your hand.		
