Name	Set	ImageFile	Politics_Cost	Intrigue_Cost	One_Power_Cost	Combat_Cost	Type	Subtype/Allegiance	Attribute	Politics_Ability	Intrigue_Ability	One_Power_Ability	Combat_Ability	Rarity	Collector	Text
A Crown of Swords	ChildrenOfTheDragon	03-001_a_crown_of_swords					Advantage	Character						Uncommon	03-001 U	Reveal an Illian character and troop from your hand to play this card. Target the Dragon Reborn.  He gains +1 Politics and the Illian allegiance.  Immediately discard this card if you control a non-starting character or troop which has an allegiance other than Illian.  All Council of Nine characters you control roll an additional die for each ability when they roll that ability.
Aan'allein	ChildrenOfTheDragon	03-002_aanallein					Character	Aes Sedai	Borderland, Malkier	1	3		5	Rare 1	03-002 R1	There must be 10 or more total Pattern in the game to play this card.  Replace Lan Mandragoran.  Remove 1 point of damage from this character at the start of the Draw Round.  When this character rotates to heal, remove up to 3 damage from him.  Shuffle this card from your hand into your deck to search your deck for Lan Mandragoran and place him in your hand.
Aiel Invaders	ChildrenOfTheDragon	03-003_aiel_invaders				2	Troop	Aiel	Multiple				4	Common	03-003 C	This troop may participate in any nation contested advantage as if it had the appropriate allegiance, but all [Support] generated by this troop are negated while doing so.
Alarys	ChildrenOfTheDragon	03-004_alarys			1		Character	Aiel	Wise One, Shaido Aiel, Dark Nature	1	1	1		Uncommon	03-004 U	May only be recruited by a Villain player.  You must control Sweat Tents or Ji'e'toh to recruit this character.  Shuffle this card from your hand into your deck to search for any Shaido Wise One and place her in your hand.
Alliance	ChildrenOfTheDragon	03-005_alliance					Challenge							Common	03-005 C	When it is revealed, this challenge gains 5 support for each nation contested advantage you control.  If successful, this challenge becomes a player advantage targeting you with the following text: Rotate Alliance and target 1 character or troop you control for each nation contested advantage you control.  The targets additionally generate [Support] [Opposition] when they roll their dice this turn.
Aludra	ChildrenOfTheDragon	03-006_aludra		2			Character	Mercenary	Illuminator	1	1			Uncommon	03-006 U	During the Coming to Grips phase of a challenge in which she is participating, you may shuffle Aludra back into her owner's deck to generate [3x Damage] character damage in that challenge.
Andoran Reserves	ChildrenOfTheDragon	03-007_andoran_reserves				2	Troop	Andor					4	Common	03-007 C	If an Andor troop you control was killed last turn, you may recruit this troop for no cost.  Rotate an Andor Lord or Andor Lady you control to allow this troop to roll an additional Combat die when it rolls its dice this turn.
Aram	ChildrenOfTheDragon	03-008_aram	1			1	Character	Dragon					2	Uncommon	03-008 U	When this caracter rolls his Combat dice while participating in a challenge, he rolls an additional Combat die for each Ta'veren you control participating in that challenge.  As a limited event, rotate this card and target Perrin if he is at your homefront.  Perrin is readied, moved to the battleground, and gains reinforcement until the end of the turn.
Army of the Light	ChildrenOfTheDragon	03-009_army_of_the_light		2		1	Troop	Children of the Light	Multiple, Reinforcement				6	Rare 2	03-009 R2	If you do not shuffle an undamaged Children of the Light troop you control back to its owner's deck when you recruit this troop, kill it immediately.
Ashandarei	ChildrenOfTheDragon	03-010_ashandarei					Advantage	Character	Weapon					Rare 2	03-010 R2	Target Mat.  He gains +1 Politics and Combat.  If you did not reroll any of Mat's dice, he additionally generates a [Damage] for each [Damage] he rolled.  At the end of a turn, if you did not reroll any of Mat's dice, remove a damage token from him.  Shuffle this card from your hand into your deck to search your deck for Mat Cauthon and place him in your hand.
Aviendha Apprenticed	ChildrenOfTheDragon	03-011_aviendha_apprenticed					Character	Aiel	Wise One	1	1	1	3	Rare 2	03-011 R2	Replace Aviendha; she permanently loses the Maiden of the Spear trait.  When you play this card, search your deck for a Light Nature Wise One, and place her in your hand.  The first time this character rolls [One Power], she permanently gains +1 One Power.  Shuffle this card from your hand into your deck to search your deck for Aviendha, and place her in your hand.
Ba'alzamon	ChildrenOfTheDragon	03-012_baalzamon					Advantage	Character						Rare 2	03-012 R2	Target Ishamael if he is your starting character: he gains +1 One Power.  Symbols generated by Ishamael have all allegiances when used to recruit Dark Nature characters and troops.  As a limited event, discard this card from play to rotate up to 4 troops for no effect.
Bael	ChildrenOfTheDragon	03-013_bael				4	Character	Aiel	Clan Chief of the Goshien Aiel	3	2		4	Rare 2	03-013 R2	You must control Chief's Chair or Ji'e'toh to recruit this character.  This character loses 1 from each printed ability for each non-starting character and troop you control which has an allegaince other than Aiel.
Balthamel	ChildrenOfTheDragon	03-014_balthamel					Character	Dark One	Starting Villain, Forsaken		2	4	1	Rare 2	03-014 R2	Cannot be the target of a Weapon advantage.  If he is at your homefront, Balthamel generates [One Power] for each Pattern you convert to reduce the cost of a character or troop.  Balthamel additionally generates [2x Damage] when he rolls his dice.  During a challenge, damage generated by Balthamel must be assigned to a Dragon or Aes Sedai card, if possible.
Battle Readiness	ChildrenOfTheDragon	03-015_battle_readiness		1		2	Advantage	Player						Uncommon	03-015 U	This card has no cost if you control a nation contested advantage by 10 or more.  When troops you control with Reinforcement do not reinforce a challenge, they roll an additional Combat die when they roll their Combat dice during that challenge.
Belinde	ChildrenOfTheDragon	03-016_belinde	1	1			Character	Aiel	Wise One, Shaido Aiel, Dark Nature	1	2	1		Uncommon	03-016 U	You must control Sweat Tents or Ji'e'toh to recruit this character.
Birgitte	ChildrenOfTheDragon	03-017_birgitte				3	Character	Aes Sedai	Warder, Bonded to Elayne Trakand, Hero of the Horn, Light Nature		3		4	Rare 1	03-017 R1	If you control Elayne, you may recruit this character as if she had the Dragon allegiance.  When recruited, search your hand or deck for a Longbow, and place it on Birgitte for no cost.  Symbols generated by this character may not be used to recruit. When Birgitte is placed in a killed pile, she is instead shuffled back into her owner's deck.
Bruan	ChildrenOfTheDragon	03-018_bruan				4	Character	Aiel	Clan Chief of the Nakai Aiel	2	1		4	Rare 2	03-018 R2	You must control Chief's Chair or Ji'e'toh to recruit this character.  While Bruan is the target of an advantage, he additionally generates [Support] [Opposition] [Combat] [Damage] when he rolls his dice.
Caddar	ChildrenOfTheDragon	03-019_caddar					Advantage	Character						Rare 2	03-019 R2	Target Sammael if he is your starting character: he gains +1 Intrigue.  Ability symbols generated by Sammael may be used to recruit Aiel characters and troops as if he had the Aiel allegiance.  Sammael additionally generates [One Power] when he rolls his dice.  This symbol may only be used to recruit a Shaido Wise One.
Cadin'sor	ChildrenOfTheDragon	03-020_cadinsor				1	Advantage							Rare 2	03-020 R2	Target a non-Wise One character or troop you control with only the Aiel allegiance.  When the target is declared a participant in a challenge, add a [Combat] to your pool.  This symbol has the Aiel allegiance and may only be used for recruiting Aiel cards.  Discard this card from play to remove up to 2 damage from the target.
Cairhien Vanguard	ChildrenOfTheDragon	03-021_cairhien_vanguard				1	Troop	Cairhien	Multiple				3	Common	03-021 C	May not participate in card-based challenges initiated by an opponent.  While participating in a non-Pattern challenge, this troop additionally generates [Support] [Opposition] [Damage] [Combat] when it rolls its dice.
Call Up the Reserves	ChildrenOfTheDragon	03-022_call_up_the_reserves					Challenge							Common	03-022 C	Target a player.  This challenge has 15 additional opposition at resolution, unless you have 6 or more tokens on your section of the pattern.  If successful, the target draws a number of cards from his deck to fill his hand to his maximum hand size.  Remove this challenge from the game when it resolves.
Callbox	ChildrenOfTheDragon	03-023_callbox					Event							Rare 2	03-023 R2	May only be played by a Villain player.  Target your starting character.  He generates [One Power].  This symbol may only be used to recruit characters or troops.
Casualties of War	ChildrenOfTheDragon	03-024_casualties_of_war					Advantage	Player	Starting Advantage					Common	03-024 C	An opponent may only play one card or use one card's effect per turn, of his choice, which would allow him to draw 1 or more cards.  If other cards and/or card effects would allow him to draw additional cards beyond this, the cards drawn are instead shuffled back into his deck.
Chaelin	ChildrenOfTheDragon	03-025_chaelin	2	1			Character	Aiel	Wise One, Miagoma Aiel, Light Nature	2	1	2		Uncommon	03-025 U	You must control Sweat Tents or Ji'e'toh to recruit this character.  Chaelin gains +1 Politics and Intrigue for every other 3 Wise One characters you control.
Chareen Aiel	ChildrenOfTheDragon	03-026_chareen_aiel				3	Troop	Aiel					6	Uncommon	03-026 U	The cost to recruit this troop is increased by [3x Combat] if you do not control Erim.  Once per turn, while participating in a challenge, target a non-contested advantage.  If the target was rotated this turn, it does not ready next turn.
