Name	Set	ImageFile	Politics_Cost	Intrigue_Cost	One_Power_Cost	Combat_Cost	Type	Subtype/Allegiance	Attribute	Politics_Ability	Intrigue_Ability	One_Power_Ability	Combat_Ability	Rarity	Collector	Text
A Beginning	Premier	01-001_a_beginning					Event							Rare	01-001 R	Play when you have at least 4 cards in your hand.  Discard your entire hand and draw 4 cards.
A Murder of Ravens	Premier	01-002_a_murder_of_ravens		2			Event							Common	01-002 C	This card may only be played by a Villain player.  Target another player and name a card.  If the named card is in the target's hand, he must discard one copy of it.  If it is not in his hand, he must show you his hand.
A Second Chance	Premier	01-003_a_second_chance					Advantage	Character						Fixed	01-003 F	Target a character you control.  Immediately after you roll the target's dice, you may discard this advantage from play to reroll up to two of those dice, or up to three of those dice if the target is a Ta'veren.  The original dice results are ignored.
A Sign of Hope	Premier	01-004_a_sign_of_hope					Event							Common	01-004 C	Target a non-Hero, non-Villain character in your killed pile.  Convert one of your Pattern tokens to a neutral token.  Move the target to your discard pile.
A Stroke of Luck	Premier	01-005_a_stroke_of_luck					Event	Limited						Common	01-005 C	If a character you control rolled three or more dice of the same ability but rolled no symbols of that ability, add one to your pool. [CLARIFICATION: The symbol generated from A Stroke of Luck is as if the character rolled it. It has the same allegiance(s), and is the same type. - 06.27.2000 - ERRATA]
A Time of Decision	Premier	01-006_a_time_of_decision					Challenge							Common	01-006 C	Target a character you have in play.  If you succeed, retrieve a replacement version of the character from your deck and place it in your hand.
A Time of Peace	Premier	01-007_a_time_of_peace	3				Event							Rare	01-007 R	No player may initiate a card-based challenge on the next turn.
Advanced Scout	Premier	01-008_advanced_scout				2	Advantage	Character						Uncommon	01-008 U	When assigning damage from your opponent's character damage pool, this character must be assigned a point.  While this character is participating in a challenge, all events you play in that challenge have their combat symbol costs reduced by one.
Al'cair'rahienallen	Premier	01-009_alcairrahienallen					Advantage	Player	Capital of Cairhien					Rare	01-009 R	While you control the Cairhien contested advantage by 5 or more, when Cairhien characters you control generate any [Intrigue Icon], they also generate an equal number of [Damage Icon]. [CLARIFICATION: If Al'cair'rahienallen is used with A Stroke of Luck to generate an Intrigue symbol, you do not also generate a Damage symbol. - 06.27.2000 - ERRATA]
Amys	Premier	01-010_amys	2		1		Character	Aiel	Dreamwalker, Light Nature, Wise One, Taardad Aiel	2	1	2		Uncommon	01-010 U	Rotate Amys and target a character with only the Aiel allegiance with a Politics ability lower than hers (including none). Rotate the target for no effect. [08.21.2001 - ERRATA]
Andor	Premier	01-011_andor					Advantage	World	Nation Contested Advantage					Uncommon	01-011 U	If you control Andor during the ready round, choose one allegiance. Until end of turn, symbols generated by Andor cards you control gain the chosen allegiance. [08.21.2001 - ERRATA]
Andor Cavalry	Premier	01-012_andor_cavalry	1			1	Troop	Andor	Multiple, Reinforcement				4	Fixed	01-012 F	
Andor Infantry	Premier	01-013_andor_infantry	2				Troop	Andor	Multiple				4	Fixed	01-013 F	
Andoran Spearmen	Premier	01-014_andoran_spearmen					Troop	Andor	Multiple				2	Uncommon	01-014 U	The cost to recruit this card is [Politics Icon] or [Combat Icon].  During the Coming to Grips step in which this card is participating, you may rotate and kill this card to add two tokens to your troop damage pool. [CLARIFICATION: - A card can not be *ready, but killed.* A card in the killed pile is neither ready nor rotated. Andoran Spearmen can use their special ability if they have damage equal to or greater than their highest ability. 06.27.2000 - ERRATA]
Animate Stone	Premier	01-015_animate_stone					Event							Uncommon	01-015 U	Target a challenge during its Opening Moves step.  This card becomes a character, participating in that challenge, with one Combat ability for each [One Power Icon] you pay.  Roll its dice immediately add the results to your pool.  Discard this card after the challenge resolves.
Asmodean (I) shine	Premier	01-016_asmodean_(i)_shine					Character	Dark One	Starting Villain, Forsaken		1	4		Rare	01-016 R	Immediately after Asmodean rotates, he generates an additional ability symbol of your choice.  That symbol can only be used for recruiting characters and troops with the Dark One allegiance.
Assassination Attempt	Premier	01-017_assassination_attempt					Challenge							Uncommon	01-017 U	Target a non-Ta'veren, non-Starting character. Only Intrigue and One Power may be rolled in this challenge. For every 3 points by which you succeed, do one point of damage to the target. [08.21.2001 - ERRATA]
Aura of Death	Premier	01-018_aura_of_death					Advantage	Character						Uncommon	01-018 U	The next time the targeted character takes damage, he takes one additional point of damage.  When he takes this extra damage, discard this advantage.   May not target a Ta'veren unless he has one or more damage tokens on him. [CLARIFICATION: Aura of Death is the source of the damage. - 06.27.2000 - ERRATA]
Aviendha	Premier	01-019_aviendha				1	Character	Aiel	Light Nature, Maiden of the Spear, Taardad Aiel				3	Uncommon	01-019 U	Symbols generated by this character may not be used for recruiting.  Aviendha gains +1 Combat while participating in a challenge.
Bain	Premier	01-020_bain				1	Character	Aiel	Maiden of the Spear, Shaarad Aiel				3	Common	01-020 C	Symbols generated by this character may not be used for recruiting.
Battle Hardened	Premier	01-021_battle_hardened					Advantage							Common	01-021 C	Target a character or troop you control.  When determining how many ability dice to roll for the target, ignore all damage on him.
Be'lal (I) sword	Premier	01-022_belal_(i)_sword					Character	Dark One	Starting Villain, Forsaken		1	4	4	Rare	01-022 R	You may only recruit one character and one troop per turn.  If the Dragon Reborn initiates the Callandor challenge and fails to succeed, place the Callandor advantage on Be'lal instead.
Berelain	Premier	01-023_berelain	3				Character	Dragon	First of Mayene	3	1			Rare	01-023 R	Politics ability symbols generated by Berelain have all alegiances for recruiting purposes.
Bitter Fighting	Premier	01-024_bitter_fighting				1	Event							Rare	01-024 R	Target a troop you control and another player's troop participating in the same challenge.  Both troops roll their dice and apply damage (other results are ignored).  Both troops continue rolling their dice and applying damage until one troop is mortally wounded.  [CLARIFICATION: mortally wounded = a character or troop is mortally wounded when it has taken at least one point of damage, and it has no current ability above zero.  06.27.2000 - ERRATA]
Blood Tide	Premier	01-025_blood_tide				2	Event							Common	01-025 C	Target a challenge.  Each [Combat Icon] you roll while participating in the challenge is converted into a [Damage Icon] instead.
Bodyguards	Premier	01-026_bodyguards	1			1	Advantage	Character						Fixed	01-026 F	When the targeted character takes damage, apply it to this card instead.  Discard this advantage when it has taken two points of damage and apply any extra damage to the targeted character.
Border Clash	Premier	01-027_border_clash					Challenge							Uncommon	01-027 U	Politics cannot be rolled in this challenge.  Reinforcement cannot be used in this challenge.  If you succeed, move a token from the neutral section of the Pattern to your section, and you may add a token to a nation contested advantage.
Broken Ground	Premier	01-028_broken_ground					Event							Uncommon	01-028 U	For each [Combat Icon] spent, target one troop participating in the same challenge.  The targeted cards do not ready next turn.
Bubble of Evil	Premier	01-029_bubble_of_evil					Event							Common	01-029 C	This card may only be played by a Villain player.  Target a character participating in a challenge.  The target may choose not to roll his dice this turn.  If he does roll, he takes one point of damage for each ability symbol he rolls.
Caemlyn	Premier	01-030_caemlyn					Advantage	Player	Capital of Andor					Rare	01-030 R	While you control the Andor contested advantage by 5 or more, all Andor characters you control may use their Politics in the Last Battle.  This allows your Andor characters with only Politics to participate in the Last Battle.
Cairhien	Premier	01-031_cairhien					Advantage	World	Nation Contested Advantage					Uncommon	01-031 U	For each token by which you control Cairhien, you may use one [Intrigue Icon] as a [Politics Icon] or [Combat Icon] to recruit.  (These symbols retain their original allegiance.)
Cairhien Footmen	Premier	01-032_cairhien_footmen	1			1	Troop	Cairhien	Multiple				5	Common	01-032 C	As an event, any player may target this troop and pay any amount of [Intrigue Icon].  For each [Intrigue Icon] paid, this troop rolls one less Combat die for the rest of the turn.
Cairhien Horsemen	Premier	01-033_cairhien_horsemen	1				Troop	Cairhien	Reinforcement				2	Uncommon	01-033 U	As an event, rotate this troop and target a troop you control.  The targeted troop gains Reinforcement until the end of the turn.
Callandor	Premier	01-034_callandor					Challenge		Unique					Rare	01-034 R	Can only be initiated by the Dragon Reborn.  If you succeed by five or more, this card becomes a sa'angreal character advantage on the Dragon Reborn.  While the target participates in a challenge, you may place two tokens on this card to roll One Power dice equal to the target's current One Power ability.  Unless the target rolls more [One Power Icon] in the challenge than tokens on this card, you must apply damage on your participating cards equal to his One Power ability. [CLARIFICATION: Callandor is a sa'angreal, and works like all other angreal. You roll the dice for Callandor at the same time your are rolling the One Power dice for the target character, and those dice are considered to be *from* the target character. - 02.13.2000 - ERRATA]
Called to War	Premier	01-035_called_to_war					Advantage	Player						Uncommon	01-035 U	You may initiate a challenge each turn targeting a nation contested advantage.  There is automatically 5 opposition to the challenge.  For every two by which you succeed, add a token to the targeted advantage.
Car'a'carn	Premier	01-036_caracarn					Challenge							Uncommon	01-036 U	Only the Dragon Reborn may initiate this challenge.  If you succeed, this challenge becomes a character advantage on the Dragon Reborn giving him the Aiel allegiance.  For each point by which you succeed, place a follower token on the advantage.  You may remove one follower token to reduce the cost of an Aiel character or troop by one ability of your choice.
Carpe Fatum	Premier	01-037_carpe_fatum			4		Event							Rare	01-037 R	The symbols used to pay for this card must all come from the same character.  Add one token to your section of the Pattern.
Catapults	Premier	01-038_catapults				1	Troop	Mercenary	Multiple				1	Uncommon	01-038 U	When participating in a challenge, Catapults add one point of damage to your troop damage pool during the Opening Moves step.
Charge	Premier	01-039_charge					Event							Common	01-039 C	Play this card during the Opening Moves step of a challenge. For each [Combat Icon x2] you pay, target one troop you control participating in that challenge. Rotate the target troops, roll their dice, and add the results to your pools. [02.13.2000 - ERRATA]
Chiad	Premier	01-040_chiad	1			1	Character	Aiel	Maiden of the Spear, Goshien Aiel		1		3	Uncommon	01-040 U	Symbols generated by this character may not be used for recruiting.
Civil Unrest	Premier	01-041_civil_unrest					Event							Uncommon	01-041 U	Target a nation contested advantage.  Each player rolls a Combat die for each token they have on that advantage.  For each [Damage Icon] rolled, they may remove a token of their choice from the target advantage.
Combat Reserves	Premier	01-042_combat_reserves				2	Advantage	Player						Rare	01-042 R	You may pay [Combat Icon] as a limited event to place a reserve token on this card.  You may remove two reserve tokens as a limited event to add one [Combat Icon] to your pool.  This symbol has the allegiance(s) of your starting character.
Commander	Premier	01-043_commander	1			1	Character	Mercenary	Multiple				2	Fixed	01-043 F	
Compulsion	Premier	01-044_compulsion			2		Advantage	Character						Rare	01-044 R	May only be played by a Villain player. Target a non-Taveren, non-Starting character with a printed cost controlled by a Hero player that has at least 3 characters in play. The target may not ready during the ready round. The target's controller may return the target to his hand to discard this advantage. At the start of the Last Battle and/or if the target is replaced, discard this advantage. [08.21.2001 - ERRATA]
Concealed Dagger	Premier	01-045_concealed_dagger		1			Advantage	Character						Rare	01-045 R	Discard this advantage as an event while the target is participating in a challenge and pay [Intrigue Icon] to add a point of damage to another character (of your choice) participating in the same challenge.
Confrontation	Premier	01-046_confrontation					Challenge							Fixed	01-046 F	If you succeed by five or more, add two tokens to your section of the Pattern.
Connections	Premier	01-047_connections	1				Event	Limited						Common	01-047 C	Draw two cards.
Cut Supply Lines	Premier	01-048_cut_supply_lines					Challenge							Rare	01-048 R	Target another player.  If you succeed, this challenge becomes a player advantage targeting him.  His maximum hand size is decreased by 2.
Dain Bornhald	Premier	01-049_dain_bornhald	1				Character	Children of the Light		1			1	Common	01-049 C	
