Name	Set	ImageFile	Politics_Cost	Intrigue_Cost	One_Power_Cost	Combat_Cost	Type	Subtype/Allegiance	Attribute	Politics_Ability	Intrigue_Ability	One_Power_Ability	Combat_Ability	Rarity	Collector	Text
Night Raid	Promo	00-001_night_raid					Challenge							Promo	00-001 P	Trollocs poured out of the night, snouted faces and horned heads, towering over the humans, howling and swingning scythe-curved swords, stabbing with hooked spears and barbed tridents, hacking with spiked axes.
Filled With Power	Promo	00-002_filled_with_power					Event							Promo	00-002 P	"The Power boiled in her till she thought she must burst; her knees quivered with the effort of standing."
Battle Fury	Promo	00-003_battle_fury					Event							Promo	00-003 P	Perrin could see those misshapen faces, contorted with rage and frenzy, as clearly as if they were right on top of him.
Unravel the Pattern	Promo	00-004_unravel_the_pattern					Event							Promo	00-004 P	The ripples were incalculable.  The Pattern itself nearly unraveled.  It could have been the destruction of everything.  World, time, Creation itself.
Uncontrolled Rage	Promo	00-005_uncontrolled_rage					Advantage	Character						Promo	00-005 P	They will pay, Lews Therin growled.  I am the Lord of the Morning.
Things Yet to Come	Promo	00-006_things_yet_to_come					Advantage	Player						Promo	00-006 P	On Tremalking, one of the Sea Folk's isles, there be a stone hand fifty feet high sticking out of a hill, clutching a crystal sphere as big as this vessel.
Power Play	Promo	00-007_power_play					Event							Promo	00-007 P	As quiet as they had been, the words "Aes Sedai" ran through the crowd in tones ranging from awe to fear to outrage.
Pitched Battle	Promo	00-008_pitched_battle					Event							Promo	00-008 P	Lan's sword accounted for those who escaped Moiraine's fire.  The Warder had blood on both sides of his face, yet he flowed through the forms as coolly as if practicing before a mirror.
Moment of Transition	Promo	00-009_moment_of_transition					Event	Limited						Promo	00-009 P	And you really think I can learn?  I can become an Aes Sedai?
Friend of the Dark	Promo	00-010_friend_of_the_dark					Character	Dark One	Multiple		2			Promo	00-010 P	Yes, Great Master.  It shall be as you say.  Yes.  Yes.
Insane Designer	Promo	00-000_insane_designer	1	1	1	1	Character	Precedence		6	6	6	6	Promo	00-011 P	You may only bring this card into play if your name appears in the credits to the game.  There is no cost.  Every time this character takes a point of damage, he generates the following ability symbols: [Politics Icon] [Intrigue Icon] [One Power Icon] [Combat Icon] 
