Name	set	ImageFile	Politics_Cost	Intrigue_Cost	One_Power_Cost	Combat_Cost	Type	Subtype/Allegiance	Attribute	Politics_Ability	Intrigue_Ability	One_Power_Ability	Combat_Ability	Rarity	Collector	Text
A Crown of Swords	children_of_the_dragon	children_of_the_dragon/a_crown_of_swords					Advantage	Character						Uncommon	03-001 U	Reveal an Illian character and troop from your hand to play this card. Target the Dragon Reborn.  He gains +1 Politics and the Illian allegiance.  Immediately discard this card if you control a non-starting character or troop which has an allegiance other than Illian.  All Council of Nine characters you control roll an additional die for each ability when they roll that ability.
Aan'allein	children_of_the_dragon	children_of_the_dragon/aan_allein					Character	Aes Sedai	Borderland, Malkier	1	3		5	Rare 1	03-002 R1	There must be 10 or more total Pattern in the game to play this card.  Replace Lan Mandragoran.  Remove 1 point of damage from this character at the start of the Draw Round.  When this character rotates to heal, remove up to 3 damage from him.  Shuffle this card from your hand into your deck to search your deck for Lan Mandragoran and place him in your hand.
Aiel Invaders	children_of_the_dragon	children_of_the_dragon/aiel_invaders				2	Troop	Aiel	Multiple				4	Common	03-003 C	This troop may participate in any nation contested advantage as if it had the appropriate allegiance, but all [Support] generated by this troop are negated while doing so.
Alarys	children_of_the_dragon	children_of_the_dragon/alarys			1		Character	Aiel	Wise One, Shaido Aiel, Dark Nature	1	1	1		Uncommon	03-004 U	May only be recruited by a Villain player.  You must control Sweat Tents or Ji'e'toh to recruit this character.  Shuffle this card from your hand into your deck to search for any Shaido Wise One and place her in your hand.
Alliance	children_of_the_dragon	children_of_the_dragon/alliance					Challenge							Common	03-005 C	When it is revealed, this challenge gains 5 support for each nation contested advantage you control.  If successful, this challenge becomes a player advantage targeting you with the following text: Rotate Alliance and target 1 character or troop you control for each nation contested advantage you control.  The targets additionally generate [Support] [Opposition] when they roll their dice this turn.
Aludra	children_of_the_dragon	children_of_the_dragon/aludra		2			Character	Mercenary	Illuminator	1	1			Uncommon	03-006 U	During the Coming to Grips phase of a challenge in which she is participating, you may shuffle Aludra back into her owner's deck to generate [3x Damage] character damage in that challenge.
Andoran Reserves	children_of_the_dragon	children_of_the_dragon/andoran_reserves				2	Troop	Andor					4	Common	03-007 C	If an Andor troop you control was killed last turn, you may recruit this troop for no cost.  Rotate an Andor Lord or Andor Lady you control to allow this troop to roll an additional Combat die when it rolls its dice this turn.
Aram	children_of_the_dragon	children_of_the_dragon/aram	1			1	Character	Dragon					2	Uncommon	03-008 U	When this caracter rolls his Combat dice while participating in a challenge, he rolls an additional Combat die for each Ta'veren you control participating in that challenge.  As a limited event, rotate this card and target Perrin if he is at your homefront.  Perrin is readied, moved to the battleground, and gains reinforcement until the end of the turn.
Army of the Light	children_of_the_dragon	children_of_the_dragon/army_of_the_light		2		1	Troop	Children of the Light	Multiple, Reinforcement				6	Rare 2	03-009 R2	If you do not shuffle an undamaged Children of the Light troop you control back to its owner's deck when you recruit this troop, kill it immediately.
Ashandarei	children_of_the_dragon	children_of_the_dragon/ashandarei					Advantage	Character	Weapon					Rare 2	03-010 R2	Target Mat.  He gains +1 Politics and Combat.  If you did not reroll any of Mat's dice, he additionally generates a [Damage] for each [Damage] he rolled.  At the end of a turn, if you did not reroll any of Mat's dice, remove a damage token from him.  Shuffle this card from your hand into your deck to search your deck for Mat Cauthon and place him in your hand.
Aviendha Apprenticed	children_of_the_dragon	children_of_the_dragon/aviendha_apprenticed					Character	Aiel	Wise One	1	1	1	3	Rare 2	03-011 R2	Replace Aviendha; she permanently loses the Maiden of the Spear trait.  When you play this card, search your deck for a Light Nature Wise One, and place her in your hand.  The first time this character rolls [One Power], she permanently gains +1 One Power.  Shuffle this card from your hand into your deck to search your deck for Aviendha, and place her in your hand.
Ba'alzamon	children_of_the_dragon	children_of_the_dragon/ba_alzamon					Advantage	Character						Rare 2	03-012 R2	Target Ishamael if he is your starting character: he gains +1 One Power.  Symbols generated by Ishamael have all allegiances when used to recruit Dark Nature characters and troops.  As a limited event, discard this card from play to rotate up to 4 troops for no effect.
Bael	children_of_the_dragon	children_of_the_dragon/bael				4	Character	Aiel	Clan Chief of the Goshien Aiel	3	2		4	Rare 2	03-013 R2	You must control Chief's Chair or Ji'e'toh to recruit this character.  This character loses 1 from each printed ability for each non-starting character and troop you control which has an allegaince other than Aiel.
Balthamel	children_of_the_dragon	children_of_the_dragon/balthamel					Character	Dark One	Starting Villain, Forsaken		2	4	1	Rare 2	03-014 R2	Cannot be the target of a Weapon advantage.  If he is at your homefront, Balthamel generates [One Power] for each Pattern you convert to reduce the cost of a character or troop.  Balthamel additionally generates [2x Damage] when he rolls his dice.  During a challenge, damage generated by Balthamel must be assigned to a Dragon or Aes Sedai card, if possible.
Battle Readiness	children_of_the_dragon	children_of_the_dragon/battle_readiness		1		2	Advantage	Player						Uncommon	03-015 U	This card has no cost if you control a nation contested advantage by 10 or more.  When troops you control with Reinforcement do not reinforce a challenge, they roll an additional Combat die when they roll their Combat dice during that challenge.
Belinde	children_of_the_dragon	children_of_the_dragon/belinde	1	1			Character	Aiel	Wise One, Shaido Aiel, Dark Nature	1	2	1		Uncommon	03-016 U	You must control Sweat Tents or Ji'e'toh to recruit this character.
