Name	Set	ImageFile	Politics_Cost	Intrigue_Cost	One_Power_Cost	Combat_Cost	Type	Subtype/Allegiance	Attribute	Politics_Ability	Intrigue_Ability	One_Power_Ability	Combat_Ability	Rarity	Collector	Text
A Beginning	premier	a_beginning					Event							Rare	01-001 R	Play when you have at least 4 cards in your hand.  Discard your entire hand and draw 4 cards.
A Murder of Ravens	premier	a_murder_of_ravens		2			Event							Common	01-002 C	This card may only be played by a Villain player.  Target another player and name a card.  If the named card is in the target's hand, he must discard one copy of it.  If it is not in his hand, he must show you his hand.
A Second Chance	premier	a_second_chance					Advantage	Character						Fixed	01-003 F	Target a character you control.  Immediately after you roll the target's dice, you may discard this advantage from play to reroll up to two of those dice, or up to three of those dice if the target is a Ta'veren.  The original dice results are ignored.
A Sign of Hope	premier	a_sign_of_hope					Event							Common	01-004 C	Target a non-Hero, non-Villain character in your killed pile.  Convert one of your Pattern tokens to a neutral token.  Move the target to your discard pile.
A Stroke of Luck	premier	a_stroke_of_luck					Event	Limited						Common	01-005 C	If a character you control rolled three or more dice of the same ability but rolled no symbols of that ability, add one to your pool. [CLARIFICATION: The symbol generated from A Stroke of Luck is as if the character rolled it. It has the same allegiance(s), and is the same type. - 06.27.2000 - ERRATA]
A Time of Decision	premier	a_time_of_decision					Challenge							Common	01-006 C	Target a character you have in play.  If you succeed, retrieve a replacement version of the character from your deck and place it in your hand.
A Time of Peace	premier	a_time_of_peace	3				Event							Rare	01-007 R	No player may initiate a card-based challenge on the next turn.
Advanced Scout	premier	advanced_scout				2	Advantage	Character						Uncommon	01-008 U	When assigning damage from your opponent's character damage pool, this character must be assigned a point.  While this character is participating in a challenge, all events you play in that challenge have their combat symbol costs reduced by one.
Al'cair'rahienallen	premier	al_cair_rahienallen					Advantage	Player	Capital of Cairhien					Rare	01-009 R	While you control the Cairhien contested advantage by 5 or more, when Cairhien characters you control generate any [Intrigue Icon], they also generate an equal number of [Damage Icon]. [CLARIFICATION: If Al'cair'rahienallen is used with A Stroke of Luck to generate an Intrigue symbol, you do not also generate a Damage symbol. - 06.27.2000 - ERRATA]
Amys	premier	amys	2		1		Character	Aiel	Dreamwalker, Light Nature, Wise One, Taardad Aiel	2	1	2		Uncommon	01-010 U	Rotate Amys and target a character with only the Aiel allegiance with a Politics ability lower than hers (including none). Rotate the target for no effect. [08.21.2001 - ERRATA]
Andor	premier	andor					Advantage	World	Nation Contested Advantage					Uncommon	01-011 U	If you control Andor during the ready round, choose one allegiance. Until end of turn, symbols generated by Andor cards you control gain the chosen allegiance. [08.21.2001 - ERRATA]
Andor Cavalry	premier	andor_cavalry	1			1	Troop	Andor	Multiple, Reinforcement				4	Fixed	01-012 F	
Andor Infantry	premier	andor_infantry	2				Troop	Andor	Multiple				4	Fixed	01-013 F	
Andoran Spearmen	premier	andoran_spearmen					Troop	Andor	Multiple				2	Uncommon	01-014 U	The cost to recruit this card is [Politics Icon] or [Combat Icon].  During the Coming to Grips step in which this card is participating, you may rotate and kill this card to add two tokens to your troop damage pool. [CLARIFICATION: - A card can not be *ready, but killed.* A card in the killed pile is neither ready nor rotated. Andoran Spearmen can use their special ability if they have damage equal to or greater than their highest ability. 06.27.2000 - ERRATA]
Animate Stone	premier	animate_stone					Event							Uncommon	01-015 U	Target a challenge during its Opening Moves step.  This card becomes a character, participating in that challenge, with one Combat ability for each [One Power Icon] you pay.  Roll its dice immediately add the results to your pool.  Discard this card after the challenge resolves.
Asmodean (I) shine	premier	asmodean_i_shine					Character	Dark One	Starting Villain, Forsaken		1	4		Rare	01-016 R	Immediately after Asmodean rotates, he generates an additional ability symbol of your choice.  That symbol can only be used for recruiting characters and troops with the Dark One allegiance.
Assassination Attempt	premier	assassination_attempt					Challenge							Uncommon	01-017 U	Target a non-Ta'veren, non-Starting character. Only Intrigue and One Power may be rolled in this challenge. For every 3 points by which you succeed, do one point of damage to the target. [08.21.2001 - ERRATA]
Aura of Death	premier	aura_of_death					Advantage	Character						Uncommon	01-018 U	The next time the targeted character takes damage, he takes one additional point of damage.  When he takes this extra damage, discard this advantage.   May not target a Ta'veren unless he has one or more damage tokens on him. [CLARIFICATION: Aura of Death is the source of the damage. - 06.27.2000 - ERRATA]
Aviendha	premier	aviendha				1	Character	Aiel	Light Nature, Maiden of the Spear, Taardad Aiel				3	Uncommon	01-019 U	Symbols generated by this character may not be used for recruiting.  Aviendha gains +1 Combat while participating in a challenge.
Bain	premier	bain				1	Character	Aiel	Maiden of the Spear, Shaarad Aiel				3	Common	01-020 C	Symbols generated by this character may not be used for recruiting.
